Test (2B): leader backs up quickly over incorrect follower logs ...
000000 VOTE Server 1 started election for term 1
000014 VOTE Server 0 received requestVote | term: 1, candidateId: 1, lastLogIndex: 0, lastLogTerm: 0
001316 APND Server 1 sending appendEntries to 0 | nextIndex: 1, logLength: 2
001324 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
001332 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
001341 APND Server 1 sending appendEntries to 4 | nextIndex: 1, logLength: 2
001353 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
001355 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
002308 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 2
002317 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 2
002323 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 2
002328 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 2
002328 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
002341 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
002344 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
002357 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
003317 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 2
003324 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 2
003329 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 2
003334 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 2
003335 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
003349 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
003353 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
003360 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
004322 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 2
004324 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 2
004326 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 2
004330 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 2
004335 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
004337 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
004337 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
004344 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
005324 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 2
005327 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 2
005329 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 2
005333 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 2
005335 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
005339 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
005339 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
005342 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
006333 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 2
006336 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 2
006339 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 2
006347 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 2
006350 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
006351 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
006356 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
006362 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
007166 LOG1 Server 1 received command 4937850534349362335 | term: 1, index: 2
007168 LOG1 Server 1 received command 1408852799102541936 | term: 1, index: 3
007169 LOG1 Server 1 received command 5535524690034608546 | term: 1, index: 4
007169 LOG1 Server 1 received command 2455372934974607353 | term: 1, index: 5
007169 LOG1 Server 1 received command 7399831946121501496 | term: 1, index: 6
007170 LOG1 Server 1 received command 6072150888396078601 | term: 1, index: 7
007170 LOG1 Server 1 received command 8643259163481723566 | term: 1, index: 8
007170 LOG1 Server 1 received command 2781632966755699653 | term: 1, index: 9
007171 LOG1 Server 1 received command 8573461147022100268 | term: 1, index: 10
007171 LOG1 Server 1 received command 4091539254832350472 | term: 1, index: 11
007172 LOG1 Server 1 received command 5975915630923221997 | term: 1, index: 12
007172 LOG1 Server 1 received command 1882318100421885443 | term: 1, index: 13
007172 LOG1 Server 1 received command 4629465028943483833 | term: 1, index: 14
007173 LOG1 Server 1 received command 1860634349119732705 | term: 1, index: 15
007173 LOG1 Server 1 received command 1637850476284396980 | term: 1, index: 16
007173 LOG1 Server 1 received command 1208068630180454490 | term: 1, index: 17
007173 LOG1 Server 1 received command 4579944113920758508 | term: 1, index: 18
007174 LOG1 Server 1 received command 5817530196079779121 | term: 1, index: 19
007174 LOG1 Server 1 received command 4776825570482405336 | term: 1, index: 20
007175 LOG1 Server 1 received command 8589121982542832792 | term: 1, index: 21
007175 LOG1 Server 1 received command 2023077175413552778 | term: 1, index: 22
007175 LOG1 Server 1 received command 688048163431151311 | term: 1, index: 23
007176 LOG1 Server 1 received command 5437586796161819032 | term: 1, index: 24
007176 LOG1 Server 1 received command 2029920213287890649 | term: 1, index: 25
007176 LOG1 Server 1 received command 555072080985812322 | term: 1, index: 26
007177 LOG1 Server 1 received command 975117721124411195 | term: 1, index: 27
007177 LOG1 Server 1 received command 7251501019230562298 | term: 1, index: 28
007177 LOG1 Server 1 received command 9020712534379770178 | term: 1, index: 29
007178 LOG1 Server 1 received command 7682820719048957753 | term: 1, index: 30
007178 LOG1 Server 1 received command 5702256582999810193 | term: 1, index: 31
007178 LOG1 Server 1 received command 8984615422866171406 | term: 1, index: 32
007179 LOG1 Server 1 received command 4864084996271982260 | term: 1, index: 33
007179 LOG1 Server 1 received command 8666492126142594110 | term: 1, index: 34
007179 LOG1 Server 1 received command 2752036288710643547 | term: 1, index: 35
007180 LOG1 Server 1 received command 5172684526784863270 | term: 1, index: 36
007180 LOG1 Server 1 received command 6845701102008460598 | term: 1, index: 37
007180 LOG1 Server 1 received command 3487137536125824265 | term: 1, index: 38
007181 LOG1 Server 1 received command 5283147801865047310 | term: 1, index: 39
007181 LOG1 Server 1 received command 7710124600954075350 | term: 1, index: 40
007181 LOG1 Server 1 received command 6370085051925117344 | term: 1, index: 41
007182 LOG1 Server 1 received command 4001479363583590604 | term: 1, index: 42
007182 LOG1 Server 1 received command 6751688224464642874 | term: 1, index: 43
007182 LOG1 Server 1 received command 7347235065216739601 | term: 1, index: 44
007182 LOG1 Server 1 received command 1784552819940395572 | term: 1, index: 45
007183 LOG1 Server 1 received command 8553899870399337985 | term: 1, index: 46
007183 LOG1 Server 1 received command 1388717652268796833 | term: 1, index: 47
007183 LOG1 Server 1 received command 5359876961256745128 | term: 1, index: 48
007184 LOG1 Server 1 received command 8811048610987637979 | term: 1, index: 49
007184 LOG1 Server 1 received command 1950732339743611823 | term: 1, index: 50
007184 LOG1 Server 1 received command 21744449079689232 | term: 1, index: 51
007341 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
007352 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
007359 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 52
007378 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
007402 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 50
008345 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
008349 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
008353 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
008355 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
008357 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 51, prevLogTerm: 1, leaderCommit: 1, entries: 0
009359 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
009360 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
009362 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
009363 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
009369 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 51, prevLogTerm: 1, leaderCommit: 1, entries: 0
009887 VOTE Server 4 started election for term 2
010364 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
010366 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
010369 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
010370 VOTE Server 0 started election for term 2
010371 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
010375 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 51, prevLogTerm: 1, leaderCommit: 1, entries: 0
010784 VOTE Server 3 started election for term 2
011376 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
011378 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
011382 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
011384 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
011390 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 51, prevLogTerm: 1, leaderCommit: 1, entries: 0
012378 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
012382 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
012389 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
012391 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
013381 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
013397 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
013418 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
013422 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
013813 VOTE Server 4 started election for term 3
013822 VOTE Server 0 received requestVote | term: 3, candidateId: 4, lastLogIndex: 1, lastLogTerm: 1
013823 INFO Server 0 demoted to follower
013823 VOTE Server 0 voted for 4
013822 VOTE Server 3 received requestVote | term: 3, candidateId: 4, lastLogIndex: 1, lastLogTerm: 1
013832 INFO Server 3 demoted to follower
013832 VOTE Server 3 voted for 4
013836 INFO Server 4 promoted to leader
013836 APND Server 4 sending appendEntries to 3 | nextIndex: 2, logLength: 2
013838 APND Server 4 sending appendEntries to 0 | nextIndex: 2, logLength: 2
013839 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 2
013854 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 2
013857 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
013861 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
014204 LOG1 Server 4 received command 608223922205702532 | term: 3, index: 2
014393 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
014395 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
014398 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
014403 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
014428 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 3
014429 APND Server 4 sending appendEntries to 0 | nextIndex: 2, logLength: 3
014431 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 3
014434 APND Server 4 sending appendEntries to 3 | nextIndex: 2, logLength: 3
014446 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 1
014446 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 1
015405 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
015408 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
015410 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
015412 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
015440 APND Server 4 sending appendEntries to 3 | nextIndex: 3, logLength: 3
015450 APND Server 4 sending appendEntries to 0 | nextIndex: 3, logLength: 3
015451 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 3
015453 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 3
015455 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 2, prevLogTerm: 3, leaderCommit: 2, entries: 0
015466 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 2, prevLogTerm: 3, leaderCommit: 2, entries: 0
015634 LOG1 Server 4 received command 1627661660118690809 | term: 3, index: 3
016309 VOTE Server 2 started election for term 2
016411 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
016413 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
016414 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
016415 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
016452 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 4
016455 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 4
016458 APND Server 4 sending appendEntries to 3 | nextIndex: 3, logLength: 4
016460 APND Server 4 sending appendEntries to 0 | nextIndex: 3, logLength: 4
016468 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 2, prevLogTerm: 3, leaderCommit: 2, entries: 1
016468 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 2, prevLogTerm: 3, leaderCommit: 2, entries: 1
017435 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
017437 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
017439 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
017440 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
017455 APND Server 4 sending appendEntries to 0 | nextIndex: 4, logLength: 4
017456 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 4
017458 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 4
017462 APND Server 4 sending appendEntries to 3 | nextIndex: 4, logLength: 4
017465 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 3, prevLogTerm: 3, leaderCommit: 3, entries: 0
017469 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 3, prevLogTerm: 3, leaderCommit: 3, entries: 0
017475 LOG1 Server 4 received command 2126412055264031389 | term: 3, index: 4
018440 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
018445 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
018448 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
018452 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
018456 APND Server 4 sending appendEntries to 0 | nextIndex: 4, logLength: 5
018458 APND Server 4 sending appendEntries to 3 | nextIndex: 4, logLength: 5
018461 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 5
018462 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 5
018463 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 3, prevLogTerm: 3, leaderCommit: 3, entries: 1
018465 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 3, prevLogTerm: 3, leaderCommit: 3, entries: 1
019451 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
019453 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
019456 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
019457 APND Server 4 sending appendEntries to 3 | nextIndex: 5, logLength: 5
019458 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
019464 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 4, prevLogTerm: 3, leaderCommit: 4, entries: 0
019459 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 5
019470 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 5
019472 APND Server 4 sending appendEntries to 0 | nextIndex: 5, logLength: 5
019479 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 4, prevLogTerm: 3, leaderCommit: 4, entries: 0
019543 LOG1 Server 4 received command 3247477848560361901 | term: 3, index: 5
020465 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 6
020467 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
020470 APND Server 4 sending appendEntries to 0 | nextIndex: 5, logLength: 6
020475 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
020481 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 6
020486 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
020489 APND Server 4 sending appendEntries to 3 | nextIndex: 5, logLength: 6
020491 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 4, prevLogTerm: 3, leaderCommit: 4, entries: 1
020490 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
020504 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 4, prevLogTerm: 3, leaderCommit: 4, entries: 1
020925 VOTE Server 2 started election for term 3
021472 APND Server 4 sending appendEntries to 0 | nextIndex: 6, logLength: 6
021474 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 6
021474 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
021475 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
021480 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 6
021483 APND Server 4 sending appendEntries to 3 | nextIndex: 6, logLength: 6
021484 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 5, prevLogTerm: 3, leaderCommit: 5, entries: 0
021488 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
021489 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
021489 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 5, prevLogTerm: 3, leaderCommit: 5, entries: 0
021596 LOG1 Server 4 received command 6026680071038232324 | term: 3, index: 6
022474 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 7
022475 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
022475 APND Server 4 sending appendEntries to 3 | nextIndex: 6, logLength: 7
022476 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
022480 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 7
022484 APND Server 4 sending appendEntries to 0 | nextIndex: 6, logLength: 7
022484 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 5, prevLogTerm: 3, leaderCommit: 5, entries: 1
022489 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
022491 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
022494 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 5, prevLogTerm: 3, leaderCommit: 5, entries: 1
023486 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
023487 APND Server 4 sending appendEntries to 0 | nextIndex: 7, logLength: 7
023488 APND Server 4 sending appendEntries to 3 | nextIndex: 7, logLength: 7
023490 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 7
023494 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 7
023495 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
023499 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 6, prevLogTerm: 3, leaderCommit: 6, entries: 0
023500 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
023502 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 6, prevLogTerm: 3, leaderCommit: 6, entries: 0
023506 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
023699 LOG1 Server 4 received command 3617557827699502192 | term: 3, index: 7
024488 APND Server 4 sending appendEntries to 3 | nextIndex: 7, logLength: 8
024488 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
024491 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 8
024493 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
024493 APND Server 4 sending appendEntries to 0 | nextIndex: 7, logLength: 8
024495 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 8
024498 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 6, prevLogTerm: 3, leaderCommit: 6, entries: 1
024500 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
024501 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 6, prevLogTerm: 3, leaderCommit: 6, entries: 1
024504 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
025490 APND Server 4 sending appendEntries to 3 | nextIndex: 8, logLength: 8
025492 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 8
025492 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
025493 APND Server 4 sending appendEntries to 0 | nextIndex: 8, logLength: 8
025496 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 8
025501 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
025502 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
025501 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 7, prevLogTerm: 3, leaderCommit: 7, entries: 0
025505 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
025508 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 7, prevLogTerm: 3, leaderCommit: 7, entries: 0
025537 LOG1 Server 4 received command 2677404600556524950 | term: 3, index: 8
025737 VOTE Server 2 started election for term 4
026502 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
026505 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
026503 APND Server 4 sending appendEntries to 0 | nextIndex: 8, logLength: 9
026510 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
026510 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 9
026515 APND Server 4 sending appendEntries to 3 | nextIndex: 8, logLength: 9
026517 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
026517 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 9
026532 APND Server 0 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 7, prevLogTerm: 3, leaderCommit: 7, entries: 1
026532 APND Server 3 received appendEntries | term: 3, leaderId: 4, prevLogIndex: 7, prevLogTerm: 3, leaderCommit: 7, entries: 1
027504 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 52
027505 APND Server 1 sending appendEntries to 2 | nextIndex: 52, logLength: 52
027506 APND Server 4 sending appendEntries to 2 | nextIndex: 2, logLength: 9
027508 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 52
027513 APND Server 4 sending appendEntries to 1 | nextIndex: 2, logLength: 9
027514 APND Server 4 sending appendEntries to 3 | nextIndex: 9, logLength: 9
027517 APND Server 4 sending appendEntries to 0 | nextIndex: 9, logLength: 9
027519 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 52
